"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3577","Create account / sign up link navigates to register page","chromium","2026-06-28","passed","2026-06-28","Navigation","","",""
"","3856","cart displays subtotal","chromium","2026-06-28","passed","2026-06-28","Checkout Journey","","",""
"","2027","Grey jacket - page loads","chromium","2026-06-28","passed","2026-06-28","Product Detail Page","","",""
"","2504","register page loads","chromium","2026-06-28","passed","2026-06-28","Authentication > Register Page","","",""
"","4372","checkout button navigates to Shopify checkout","chromium","2026-06-28","passed","2026-06-28","Checkout Journey","","",""
"","2604","all expected products are listed","chromium","2026-06-28","passed","2026-06-28","Product Catalog","","",""
"","2575","submit button is present","chromium","2026-06-28","passed","2026-06-28","Authentication > Login Page","","",""
"","2689","email field is present","chromium","2026-06-28","passed","2026-06-28","Authentication > Register Page","","",""
"","3941","search for non-existent product shows no results message","chromium","2026-06-28","passed","2026-06-28","Search","","",""
"","3340","Blog link navigates to blog page","chromium","2026-06-28","passed","2026-06-28","Navigation","","",""
"","2465","email field is present","chromium","2026-06-28","passed","2026-06-28","Authentication > Login Page","","",""
"","2849","continue shopping from empty cart navigates to catalog","chromium","2026-06-28","passed","2026-06-28","Shopping Cart","","",""
"","2979","Catalog link navigates to collections page","chromium","2026-06-28","passed","2026-06-28","Navigation","","",""
"","1943","empty cart shows empty message","chromium","2026-06-28","passed","2026-06-28","Shopping Cart","","",""
"","2496","homepage loads with HTTP 200","chromium","2026-06-28","passed","2026-06-28","Page Load & Performance","","",""
"","3807","blog post link navigates to post","chromium","2026-06-28","passed","2026-06-28","Blog","","",""
"","2629","search results page URL contains query","chromium","2026-06-28","passed","2026-06-28","Search","","",""
"","2074","Grey jacket - price is displayed","chromium","2026-06-28","passed","2026-06-28","Product Detail Page","","",""
"","2309","homepage has a title","chromium","2026-06-28","passed","2026-06-28","Page Load & Performance","","",""
"","2341","product page has Add to Cart button","chromium","2026-06-28","passed","2026-06-28","Product Detail Page","","",""
"","1935","Noir jacket - page loads","chromium","2026-06-28","passed","2026-06-28","Product Detail Page","","",""
"","7055","login with invalid credentials stays on login page","chromium","2026-06-28","passed","2026-06-28","Authentication > Login Page","","",""
"","3614","clicking a product navigates to product detail page","chromium","2026-06-28","passed","2026-06-28","Product Catalog","","",""
"","1910","product image is visible","chromium","2026-06-28","passed","2026-06-28","Product Detail Page","","",""
"","2195","cart page loads","chromium","2026-06-28","passed","2026-06-28","Shopping Cart","","",""
"","2791","about us page loads","chromium","2026-06-28","passed","2026-06-28","About Us & Footer","","",""
"","2187","cart page has checkout link","chromium","2026-06-28","passed","2026-06-28","Shopping Cart","","",""
"","2367","homepage body is visible and non-empty","chromium","2026-06-28","passed","2026-06-28","Page Load & Performance","","",""
"","2029","Grey jacket - name is displayed","chromium","2026-06-28","passed","2026-06-28","Product Detail Page","","",""
"","3633","Login link navigates to login page","chromium","2026-06-28","passed","2026-06-28","Navigation","","",""
"","2468","cart link is present in header","chromium","2026-06-28","passed","2026-06-28","Navigation","","",""
"","2556","clicking add to cart stays on page or redirects to cart","chromium","2026-06-28","passed","2026-06-28","Shopping Cart","","",""
"","2551","sold out product shows sold out in page source","chromium","2026-06-28","passed","2026-06-28","Product Detail Page","","",""
"","2205","homepage loads within 15 seconds","chromium","2026-06-28","passed","2026-06-28","Page Load & Performance","","",""
"","3925","searching for a product returns results","chromium","2026-06-28","passed","2026-06-28","Search","","",""
"","3551","cart page shows checkout button","chromium","2026-06-28","passed","2026-06-28","Checkout Journey","","",""
"","2551","add to cart button is present on product page","chromium","2026-06-28","passed","2026-06-28","Shopping Cart","","",""
"","2669","catalog page loads successfully","chromium","2026-06-28","passed","2026-06-28","Product Catalog","","",""
"","2426","Bronze sandals - price is displayed","chromium","2026-06-28","passed","2026-06-28","Product Detail Page","","",""
"","2743","products are displayed","chromium","2026-06-28","passed","2026-06-28","Product Catalog","","",""
"","2569","about us page has content","chromium","2026-06-28","passed","2026-06-28","About Us & Footer","","",""
"","2305","no blocking console errors on homepage load","chromium","2026-06-28","passed","2026-06-28","Page Load & Performance","","",""
"","2418","Bronze sandals - name is displayed","chromium","2026-06-28","passed","2026-06-28","Product Detail Page","","",""
"","2670","password field is present","chromium","2026-06-28","passed","2026-06-28","Authentication > Register Page","","",""
"","2432","login page loads","chromium","2026-06-28","passed","2026-06-28","Authentication > Login Page","","",""
"","2053","blog listing shows at least one post","chromium","2026-06-28","passed","2026-06-28","Blog","","",""
"","2992","first name field is present","chromium","2026-06-28","passed","2026-06-28","Authentication > Register Page","","",""
"","2664","create account / sign up link is visible","chromium","2026-06-28","passed","2026-06-28","Authentication > Login Page","","",""
"","2182","Striped top - name is displayed","chromium","2026-06-28","passed","2026-06-28","Product Detail Page","","",""
"","2575","last name field is present","chromium","2026-06-28","passed","2026-06-28","Authentication > Register Page","","",""
"","3329","About Us link navigates to about page","chromium","2026-06-28","passed","2026-06-28","Navigation","","",""
"","2634","forgot password link is visible","chromium","2026-06-28","passed","2026-06-28","Authentication > Login Page","","",""
"","2423","social media links are present","chromium","2026-06-28","passed","2026-06-28","About Us & Footer","","",""
"","2897","blog post shows title","chromium","2026-06-28","passed","2026-06-28","Blog","","",""
"","1934","empty cart has continue shopping link","chromium","2026-06-28","passed","2026-06-28","Shopping Cart","","",""
"","2803","sold out products are labelled","chromium","2026-06-28","passed","2026-06-28","Product Catalog","","",""
"","2205","product page has quantity selector","chromium","2026-06-28","passed","2026-06-28","Product Detail Page","","",""
"","2654","blog post page loads with content","chromium","2026-06-28","passed","2026-06-28","Blog","","",""
"","2018","Noir jacket - name is displayed","chromium","2026-06-28","passed","2026-06-28","Product Detail Page","","",""
"","2274","search input is present on homepage","chromium","2026-06-28","passed","2026-06-28","Search","","",""
"","2103","Striped top - page loads","chromium","2026-06-28","passed","2026-06-28","Product Detail Page","","",""
"","2446","Black heels - page loads","chromium","2026-06-28","passed","2026-06-28","Product Detail Page","","",""
"","2989","footer is visible on homepage","chromium","2026-06-28","passed","2026-06-28","About Us & Footer","","",""
"","2431","Bronze sandals - page loads","chromium","2026-06-28","passed","2026-06-28","Product Detail Page","","",""
"","2181","blog listing page loads","chromium","2026-06-28","passed","2026-06-28","Blog","","",""
"","1947","Striped top - price is displayed","chromium","2026-06-28","passed","2026-06-28","Product Detail Page","","",""
"","2660","navigation links are visible","chromium","2026-06-28","passed","2026-06-28","Navigation","","",""
"","2398","Black heels - price is displayed","chromium","2026-06-28","passed","2026-06-28","Product Detail Page","","",""
"","2897","product images are visible","chromium","2026-06-28","passed","2026-06-28","Product Catalog","","",""
"","3408","password field is present","chromium","2026-06-28","passed","2026-06-28","Authentication > Login Page","","",""
"","2652","footer has copyright notice","chromium","2026-06-28","passed","2026-06-28","About Us & Footer","","",""
"","3229","footer shows accepted payment methods","chromium","2026-06-28","passed","2026-06-28","About Us & Footer","","",""
"","1955","Black heels - name is displayed","chromium","2026-06-28","passed","2026-06-28","Product Detail Page","","",""
"","2764","search for ""top"" returns striped top","chromium","2026-06-28","passed","2026-06-28","Search","","",""
"","2443","products display prices","chromium","2026-06-28","passed","2026-06-28","Product Catalog","","",""
"","2057","Noir jacket - price is displayed","chromium","2026-06-28","passed","2026-06-28","Product Detail Page","","",""
"","4150","forgot password link shows reset form","chromium","2026-06-28","passed","2026-06-28","Authentication > Login Page","","",""
